publicationID;graduateStudentID
100;612
103;22
103;1102
104;22
104;1322
105;1242
107;442
108;1372
110;1392
112;202
113;552
113;872
114;2
115;1362
200;432
200;972
201;712
202;172
204;1082
206;362
210;722
210;972
300;442
300;1132
302;1262
303;62
303;1312
304;2
402;312
403;262
1102;262
1103;1112
1103;1322
1109;472
1109;1092
1110;372
1112;1172
1115;572
1117;242
1117;862
1118;52
1118;102
1119;202
1119;482
1206;522
1207;672
1207;1422
1208;2
1209;912
1209;1112
1210;132
1300;932
1302;512
1303;332
1306;752
1307;1172
1400;542
1401;1312
1401;1382
1402;412
1403;502
1403;922
2102;832
2102;1442
2104;1282
2108;1412
2110;592
2110;852
2111;552
2112;132
2113;2
2113;112
2113;302
2113;1412
2114;602
2115;382
2117;1372
2200;1132
2201;642
2204;32
2206;1242
2207;532
2208;702
2212;322
2213;462
2213;1082
2214;532
2301;592
2301;1302
2302;172
2302;482
2303;292
2303;752
2305;172
2307;222
2308;672
3100;122
3101;1172
3102;152
3102;1152
3102;1192
3104;492
3104;522
3104;762
3104;962
3105;1412
3107;962
3108;332
3109;332
3110;1262
3112;212
3112;742
3112;772
3112;1042
3114;1302
3115;302
3200;722
3200;1412
3200;1422
3206;92
3206;942
3207;102
3210;682
3210;1262
3212;1112
3214;572
3302;1242
3303;222
4100;212
4101;422
4102;692
4102;1312
4103;342
4104;102
4106;592
4108;1432
4109;312
4109;322
4110;302
4111;1302
4115;562
4117;22
4117;212
4117;522
4118;462
4118;622
4200;612
4201;832
4202;692
4202;1142
4202;1162
4202;1312
4204;642
4205;302
4205;322
4205;442
4207;1322
4207;1332
4208;152
4209;352
4210;1422
4211;82
4300;542
4301;112
4301;602
4302;422
4305;412
4309;342
5101;1282
5102;292
5102;852
5103;52
5107;1242
5107;1362
5108;852
5109;972
5110;422
5110;662
5110;952
5112;672
5114;542
5200;202
5200;412
5202;552
5205;122
5206;22
5207;2
5207;672
5207;682
5207;1042
5208;22
5208;962
5301;922
5302;42
5303;922
5303;952
5304;122
6100;1212
6102;772
6103;1152
6104;632
6106;562
6107;892
6107;932
6108;472
6108;512
6108;572
6108;642
6110;932
6112;442
6112;652
6112;892
6114;82
6114;592
6115;1022
6203;12
6203;352
6204;1102
6206;272
6206;572
6207;502
6210;972
6210;1362
6211;372
6211;1142
6212;1332
6212;1382
6301;922
6301;1382
6307;612
6307;952
6308;1142
6400;382
6400;512
6400;952
6400;1022
7101;612
7102;542
7106;1142
7107;852
7110;562
7110;1442
7118;772
7200;952
7202;1312
7204;232
7204;1112
7204;1212
7205;1182
7206;1222
7207;372
7210;152
7210;552
7210;1382
7211;1392
7212;12
7300;272
7300;532
7303;772
7304;1212
7304;1322
8101;552
8101;722
8101;1192
8103;672
8108;942
8110;422
8111;702
8112;1442
8113;722
8113;772
8113;1132
8115;1032
8200;1172
8201;202
8202;592
8202;932
8203;712
8204;1442
8206;412
8210;502
8212;802
8213;862
8300;942
8301;732
8301;1152
8303;492
8307;1372
9106;432
9106;1152
9108;1332
9109;162
9110;262
9110;632
9112;502
9112;692
9112;1342
9113;1272
9114;152
9118;12
9118;492
9200;532
9200;652
9204;862
9205;1442
9206;332
9207;62
9207;342
9207;1282
9208;1132
9209;12
9209;112
9212;792
9212;1342
9214;1352
9300;852
9302;682
9302;792
9303;1222
9304;622
10200;692
10200;1392
10202;1132
10204;132
10204;1042
10205;462
10206;662
10207;452
10207;1102
10209;1262
10211;1262
10212;222
10212;792
11202;322
11202;1322
11202;1362
11205;72
11205;682
11205;962
11206;422
11206;1042
11207;1142
11207;1152
11208;392
11208;782
11209;462
11210;1332
12202;302
12202;442
12202;692
12204;1172
12205;372
12208;932
12211;62
12211;92
12211;1292
12212;912
12214;492
12215;112
13202;682
13203;92
13203;1112
13204;232
13205;202
13208;352
100100;10832
100101;10812
100103;10022
100103;10192
100104;10482
100104;10512
100104;10892
100105;10622
100106;10482
100106;10662
100108;10992
100110;10512
100112;10582
100112;10602
100112;11042
100113;10432
100116;10912
100200;10142
100200;10762
100202;10322
100202;10822
100203;10162
100206;10062
100208;10182
100209;10542
100210;10732
100210;10812
100211;10552
100300;10752
100301;10262
100303;10002
100306;10582
100306;11012
100309;11022
100400;11032
101100;10582
101101;10302
101104;10472
101107;10242
101108;10032
101110;10112
101110;10242
101113;10342
101113;10432
101114;10992
101200;11022
101201;10702
101202;10662
101203;10182
101203;10282
101203;10722
101208;10382
101212;10462
101214;10862
101215;10462
101302;10052
101304;10752
101304;10782
101304;10882
101400;10082
102100;10722
102102;10242
102105;10062
102109;10642
102111;10512
102113;10742
102114;10702
102114;10802
102201;10652
102203;10592
102204;10742
102206;10022
102207;10082
102207;10382
102300;10062
102301;10722
102302;10412
102305;10292
102305;10542
102305;10652
102307;10402
102309;10912
102400;10712
103101;10162
103101;10452
103101;10562
103102;10392
103103;10372
103103;10612
103107;10032
103109;10692
103110;10682
103110;10832
103111;10632
103113;10942
103115;10372
103200;10082
103201;10262
103201;10662
103202;10152
103203;10132
103203;10672
103203;11072
103204;10572
103301;10692
103304;10022
104102;10242
104103;10432
104105;10332
104106;10362
104108;11012
104109;10872
104110;10222
104113;10812
104114;10202
104115;10032
104115;10772
104200;10682
104201;10152
104202;10542
104202;10822
104205;10282
104206;10882
104206;11032
104207;10762
104208;10132
104209;10022
104209;10882
104210;10262
104302;10412
104303;10172
104304;10372
104403;11032
105100;10132
105102;10142
105103;10472
105110;10552
105110;10602
105111;10082
105111;10992
105114;10202
105114;10602
105115;10162
105115;10712
105116;10822
105116;11032
105117;10842
105118;10962
105118;11092
105203;10702
105204;10752
105206;10802
105209;10822
105210;10292
105300;10032
105300;11012
105301;10962
105303;11042
105305;10612
105307;10582
105400;10492
105400;10622
105401;10892
105402;10552
106102;11092
106103;10262
106103;10432
106106;10382
106111;10242
106113;10612
106113;10642
106114;10322
106200;10482
106200;10832
106203;10402
106203;11032
106210;10612
106300;10342
106301;10542
106301;10632
106302;10332
106302;10432
106302;10632
106303;10632
106305;10452
106306;10322
107100;10152
107102;10802
107102;10822
107103;10112
107103;10812
107103;10962
107104;10052
107104;10462
107105;10092
107105;10132
107106;10442
107106;10652
107108;10172
107108;10282
107109;10652
107112;10422
107113;10902
107113;10972
107114;10032
107200;10462
107200;11012
107201;10422
107202;10192
107202;10742
107204;10362
107204;10382
107205;10862
107206;10732
107207;10302
107208;10662
107209;10662
107209;10682
107210;10812
107212;10082
107214;10412
107302;10932
107306;10442
108100;10692
108104;10422
108107;10452
108107;10512
108111;10922
108112;10282
108112;10992
108113;10002
108115;10042
108116;11062
108117;10542
108117;10762
108200;10162
108204;10192
108206;10002
108207;10042
108208;10292
108212;10332
108214;10552
108214;11072
108214;11092
108215;10342
108216;10522
109101;10302
109103;10142
109106;10182
109107;10072
109113;10042
109114;10732
109116;10282
109118;10062
109118;10932
109118;11042
109119;10622
109203;10112
109204;10022
109204;10422
109205;10682
109207;10312
109207;10762
109209;10002
109209;10702
200100;20962
200102;20042
200102;20912
200106;20302
200107;20672
200109;20332
200110;20302
200110;20612
200112;20152
200114;20192
200114;20582
200115;20112
200203;20882
200205;20942
200206;20732
200206;21022
200210;20012
200210;20432
200210;20892
200211;20052
200213;20032
200213;20762
200214;20542
200300;20782
200303;20132
200305;20932
200305;20962
200306;20152
200306;20692
200307;20272
200307;20332
200307;20382
200308;21002
201100;20712
201102;20322
201104;20262
201105;20352
201107;20562
201108;20432
201113;20682
201115;20602
201115;20672
201116;20192
201116;20292
201116;20562
201200;20912
201203;20282
201208;20322
201209;20392
201210;21022
201300;20602
201302;20092
201302;20612
201304;20212
201304;20252
201305;20122
201306;20042
202102;20572
202103;20782
202104;20512
202106;20132
202109;20452
202111;20972
202112;20682
202116;20032
202200;20362
202201;20942
202204;20672
202205;20212
202206;20072
202206;20492
202207;20342
202208;20782
202209;20392
202210;20382
202211;20982
202212;20282
202212;20502
202212;20672
202215;20412
202216;20732
202217;20712
202217;20722
202300;20202
202302;20322
202302;20492
202303;20402
202304;20252
202304;20462
202304;21012
203102;20752
203103;20992
203104;21032
203107;20382
203107;20902
203107;20972
203108;21052
203115;21032
203119;20562
203201;20132
203202;20772
203203;20732
203205;20992
203208;20132
203208;20462
203210;21012
203212;20252
203212;20552
203212;21062
203213;20352
203213;20612
203214;20592
203216;20052
203216;20892
203302;20612
203303;20412
203304;20042
203305;20492
203305;20782
203309;20792
204100;21022
204102;21062
204103;20002
204103;20382
204104;20172
204105;20662
204106;20032
204108;20342
204108;20362
204108;20372
204108;20512
204112;20102
204112;20202
204112;20462
204113;20302
204115;20312
204116;20272
204116;20712
204117;20392
204200;20572
204200;20932
204207;20042
204208;20352
204209;20352
204211;20472
204213;20292
204215;20292
204215;20472
204215;20882
204216;20072
204300;20872
204301;20602
204302;20452
204302;20912
204303;20272
204305;20362
204307;20442
204308;20022
204308;20882
204308;20912
204309;20722
205103;20722
205104;20452
205104;20762
205106;21022
205108;20282
205109;20232
205112;20352
205113;20092
205113;20332
205200;20262
205200;20642
205200;20682
205202;20302
205202;20472
205202;20702
205202;20902
205203;20732
205206;21032
205207;20162
205207;20682
205207;21032
205208;20272
205208;20552
205208;20752
205209;20872
205212;20282
205217;20442
205301;21022
205302;20012
205400;20292
205401;20072
206101;20482
206103;20212
206103;20892
206104;20222
206106;20932
206109;20252
206111;20032
206112;20612
206113;20682
206114;20182
206114;20442
206114;20492
206114;20502
206114;20692
206208;20582
206211;20212
206213;20162
206213;20782
206215;20602
206216;20022
206216;20412
206301;20472
206302;20722
206302;20872
206303;20892
206305;20432
206305;20712
206307;20072
206307;20502
207200;20442
207200;20602
207200;20992
207201;20672
207202;20202
207203;20192
207204;20692
207205;20042
207205;20552
207206;20972
207208;20212
207208;20772
207209;20052
207211;20462
207212;20392
207215;20022
207300;20512
207303;20232
207306;20062
207306;20912
208200;20642
208202;20452
208203;20072
208203;20462
208204;20532
208207;20452
208207;20982
208209;20272
208212;20102
208213;20562
208214;20422
208215;20312
208216;20012
209203;20202
209204;20162
209204;20472
209206;20382
209207;20002
209214;20552
210200;20732
210202;20292
210208;20492
210209;20422
210209;20432
211200;20422
211204;20342
211205;20902
211208;20132
211208;20862
300102;30422
300102;30872
300105;30142
300108;30752
300110;30942
300114;30352
300200;30582
300200;30662
300200;30702
300201;30142
300201;30632
300204;31002
300206;30762
300208;30312
300208;30892
300300;30362
300300;30502
300301;30642
300302;30072
300302;30542
300304;30042
300305;30682
300305;31052
301101;30082
301103;30052
301105;31022
301106;30602
301107;30822
301108;30182
301110;30612
301110;30762
301114;30822
301114;31172
301115;30152
301115;30642
301115;30772
301116;30632
301116;30992
301117;30082
301119;30342
301201;30042
301201;30422
301207;30082
301207;30422
301207;30902
301208;30712
301209;30422
301210;30172
301211;30032
301213;30412
301214;30602
301300;30312
301300;30902
301302;30322
301302;30692
301302;30702
301304;30422
301304;31052
301305;30022
301400;30302
302102;30952
302103;30142
302103;30322
302103;30592
302103;30712
302103;30902
302104;30442
302106;30212
302106;30722
302107;30352
302107;30402
302107;30582
302108;30362
302108;30872
302109;31092
302110;30342
302112;30032
302112;30932
302113;30772
302114;30702
302116;30212
302117;30562
302200;30432
302200;30512
302200;30892
302201;30852
302203;30922
302207;30432
302208;30892
302211;31042
302212;30392
302213;30692
302215;30442
302217;30202
302217;30882
302302;30382
302303;30082
302304;30992
302400;31152
303100;31052
303107;30612
303109;31022
303115;30722
303202;31042
303204;31032
303205;30782
303207;30162
303207;30432
303207;30852
303211;30152
303212;31072
303301;30612
303307;30782
303308;30442
303308;31112
304100;30802
304102;30242
304103;31112
304105;30432
304108;30612
304112;30092
304113;30132
304113;30312
304114;30272
304202;31022
304204;30712
304204;30742
304206;30252
304206;30542
304210;30762
304210;30812
304210;31072
304211;30332
304211;30682
304211;30832
304211;30912
304212;30342
304212;30702
304212;30892
304212;31192
304213;30002
304215;30582
304215;31032
304216;30162
304300;30302
304300;30672
304302;30672
304304;31052
305100;30252
305101;31182
305103;30152
305103;30172
305105;30152
305107;30072
305107;31152
305108;31052
305109;30632
305109;30752
305110;30642
305110;30912
305111;30112
305111;30602
305111;31072
305113;30072
305115;30112
305115;30642
305200;30622
305200;30682
305201;30492
305202;31172
305203;30222
305203;30472
305205;30302
305206;30852
305207;30652
305209;30602
305210;30212
305302;30262
305304;31022
305305;30042
305305;30162
305306;30912
305306;31132
305309;30582
305402;30722
305403;30772
305404;30742
305404;31152
306102;30822
306103;30072
306103;30172
306103;30712
306103;30822
306104;30632
306105;30882
306107;30452
306107;30732
306110;30382
306110;30932
306111;30492
306113;30302
306114;31032
306115;31172
306116;30002
306116;30242
306202;30262
306203;31072
306205;30382
306205;31072
306206;30032
306209;30142
306210;30932
306214;30952
306300;30692
306306;30762
306306;30912
307103;30352
307106;30442
307107;31112
307108;30502
307108;30762
