nr;name;telephone;emailAddress;age;advisor;memberOf
1;undergraduateStudent0;xxx-xxx-xxxx;undergraduateStudent0@department0.university0.edu;19;;0
11;undergraduateStudent1;xxx-xxx-xxxx;undergraduateStudent1@department0.university0.edu;20;;0
21;undergraduateStudent2;xxx-xxx-xxxx;undergraduateStudent2@department0.university0.edu;22;;0
31;undergraduateStudent3;xxx-xxx-xxxx;undergraduateStudent3@department0.university0.edu;22;;0
41;undergraduateStudent4;xxx-xxx-xxxx;undergraduateStudent4@department0.university0.edu;16;43;0
51;undergraduateStudent5;xxx-xxx-xxxx;undergraduateStudent5@department0.university0.edu;20;;0
61;undergraduateStudent6;xxx-xxx-xxxx;undergraduateStudent6@department0.university0.edu;20;;0
71;undergraduateStudent7;xxx-xxx-xxxx;undergraduateStudent7@department0.university0.edu;18;;0
81;undergraduateStudent8;xxx-xxx-xxxx;undergraduateStudent8@department0.university0.edu;17;;0
91;undergraduateStudent9;xxx-xxx-xxxx;undergraduateStudent9@department0.university0.edu;23;;0
101;undergraduateStudent10;xxx-xxx-xxxx;undergraduateStudent10@department0.university0.edu;17;63;0
111;undergraduateStudent11;xxx-xxx-xxxx;undergraduateStudent11@department0.university0.edu;23;;0
121;undergraduateStudent12;xxx-xxx-xxxx;undergraduateStudent12@department0.university0.edu;22;;0
131;undergraduateStudent13;xxx-xxx-xxxx;undergraduateStudent13@department0.university0.edu;17;;0
141;undergraduateStudent14;xxx-xxx-xxxx;undergraduateStudent14@department0.university0.edu;19;;0
151;undergraduateStudent15;xxx-xxx-xxxx;undergraduateStudent15@department0.university0.edu;22;;0
161;undergraduateStudent16;xxx-xxx-xxxx;undergraduateStudent16@department0.university0.edu;22;;0
171;undergraduateStudent17;xxx-xxx-xxxx;undergraduateStudent17@department0.university0.edu;18;;0
181;undergraduateStudent18;xxx-xxx-xxxx;undergraduateStudent18@department0.university0.edu;21;71;0
191;undergraduateStudent19;xxx-xxx-xxxx;undergraduateStudent19@department0.university0.edu;17;;0
201;undergraduateStudent20;xxx-xxx-xxxx;undergraduateStudent20@department0.university0.edu;20;;0
211;undergraduateStudent21;xxx-xxx-xxxx;undergraduateStudent21@department0.university0.edu;21;73;0
221;undergraduateStudent22;xxx-xxx-xxxx;undergraduateStudent22@department0.university0.edu;20;;0
231;undergraduateStudent23;xxx-xxx-xxxx;undergraduateStudent23@department0.university0.edu;21;;0
241;undergraduateStudent24;xxx-xxx-xxxx;undergraduateStudent24@department0.university0.edu;20;122;0
251;undergraduateStudent25;xxx-xxx-xxxx;undergraduateStudent25@department0.university0.edu;19;;0
261;undergraduateStudent26;xxx-xxx-xxxx;undergraduateStudent26@department0.university0.edu;16;102;0
271;undergraduateStudent27;xxx-xxx-xxxx;undergraduateStudent27@department0.university0.edu;21;;0
281;undergraduateStudent28;xxx-xxx-xxxx;undergraduateStudent28@department0.university0.edu;16;;0
291;undergraduateStudent29;xxx-xxx-xxxx;undergraduateStudent29@department0.university0.edu;21;61;0
301;undergraduateStudent30;xxx-xxx-xxxx;undergraduateStudent30@department0.university0.edu;17;;0
311;undergraduateStudent31;xxx-xxx-xxxx;undergraduateStudent31@department0.university0.edu;20;31;0
321;undergraduateStudent32;xxx-xxx-xxxx;undergraduateStudent32@department0.university0.edu;24;43;0
331;undergraduateStudent33;xxx-xxx-xxxx;undergraduateStudent33@department0.university0.edu;21;;0
341;undergraduateStudent34;xxx-xxx-xxxx;undergraduateStudent34@department0.university0.edu;20;32;0
351;undergraduateStudent35;xxx-xxx-xxxx;undergraduateStudent35@department0.university0.edu;16;;0
361;undergraduateStudent36;xxx-xxx-xxxx;undergraduateStudent36@department0.university0.edu;23;;0
371;undergraduateStudent37;xxx-xxx-xxxx;undergraduateStudent37@department0.university0.edu;18;;0
381;undergraduateStudent38;xxx-xxx-xxxx;undergraduateStudent38@department0.university0.edu;21;;0
391;undergraduateStudent39;xxx-xxx-xxxx;undergraduateStudent39@department0.university0.edu;18;;0
401;undergraduateStudent40;xxx-xxx-xxxx;undergraduateStudent40@department0.university0.edu;17;;0
411;undergraduateStudent41;xxx-xxx-xxxx;undergraduateStudent41@department0.university0.edu;23;;0
421;undergraduateStudent42;xxx-xxx-xxxx;undergraduateStudent42@department0.university0.edu;16;22;0
431;undergraduateStudent43;xxx-xxx-xxxx;undergraduateStudent43@department0.university0.edu;21;;0
441;undergraduateStudent44;xxx-xxx-xxxx;undergraduateStudent44@department0.university0.edu;24;;0
451;undergraduateStudent45;xxx-xxx-xxxx;undergraduateStudent45@department0.university0.edu;18;;0
461;undergraduateStudent46;xxx-xxx-xxxx;undergraduateStudent46@department0.university0.edu;23;;0
471;undergraduateStudent47;xxx-xxx-xxxx;undergraduateStudent47@department0.university0.edu;17;;0
481;undergraduateStudent48;xxx-xxx-xxxx;undergraduateStudent48@department0.university0.edu;24;;0
491;undergraduateStudent49;xxx-xxx-xxxx;undergraduateStudent49@department0.university0.edu;21;;0
501;undergraduateStudent50;xxx-xxx-xxxx;undergraduateStudent50@department0.university0.edu;21;;0
511;undergraduateStudent51;xxx-xxx-xxxx;undergraduateStudent51@department0.university0.edu;22;;0
521;undergraduateStudent52;xxx-xxx-xxxx;undergraduateStudent52@department0.university0.edu;20;;0
531;undergraduateStudent53;xxx-xxx-xxxx;undergraduateStudent53@department0.university0.edu;18;;0
541;undergraduateStudent54;xxx-xxx-xxxx;undergraduateStudent54@department0.university0.edu;21;;0
551;undergraduateStudent55;xxx-xxx-xxxx;undergraduateStudent55@department0.university0.edu;22;;0
561;undergraduateStudent56;xxx-xxx-xxxx;undergraduateStudent56@department0.university0.edu;18;;0
571;undergraduateStudent57;xxx-xxx-xxxx;undergraduateStudent57@department0.university0.edu;16;91;0
581;undergraduateStudent58;xxx-xxx-xxxx;undergraduateStudent58@department0.university0.edu;16;;0
591;undergraduateStudent59;xxx-xxx-xxxx;undergraduateStudent59@department0.university0.edu;21;93;0
601;undergraduateStudent60;xxx-xxx-xxxx;undergraduateStudent60@department0.university0.edu;18;;0
611;undergraduateStudent61;xxx-xxx-xxxx;undergraduateStudent61@department0.university0.edu;24;;0
621;undergraduateStudent62;xxx-xxx-xxxx;undergraduateStudent62@department0.university0.edu;18;61;0
631;undergraduateStudent63;xxx-xxx-xxxx;undergraduateStudent63@department0.university0.edu;20;;0
641;undergraduateStudent64;xxx-xxx-xxxx;undergraduateStudent64@department0.university0.edu;21;;0
651;undergraduateStudent65;xxx-xxx-xxxx;undergraduateStudent65@department0.university0.edu;23;;0
661;undergraduateStudent66;xxx-xxx-xxxx;undergraduateStudent66@department0.university0.edu;19;;0
671;undergraduateStudent67;xxx-xxx-xxxx;undergraduateStudent67@department0.university0.edu;20;13;0
681;undergraduateStudent68;xxx-xxx-xxxx;undergraduateStudent68@department0.university0.edu;24;;0
691;undergraduateStudent69;xxx-xxx-xxxx;undergraduateStudent69@department0.university0.edu;16;;0
701;undergraduateStudent70;xxx-xxx-xxxx;undergraduateStudent70@department0.university0.edu;23;;0
711;undergraduateStudent71;xxx-xxx-xxxx;undergraduateStudent71@department0.university0.edu;17;;0
721;undergraduateStudent72;xxx-xxx-xxxx;undergraduateStudent72@department0.university0.edu;16;;0
731;undergraduateStudent73;xxx-xxx-xxxx;undergraduateStudent73@department0.university0.edu;20;;0
741;undergraduateStudent74;xxx-xxx-xxxx;undergraduateStudent74@department0.university0.edu;22;;0
751;undergraduateStudent75;xxx-xxx-xxxx;undergraduateStudent75@department0.university0.edu;17;;0
761;undergraduateStudent76;xxx-xxx-xxxx;undergraduateStudent76@department0.university0.edu;21;;0
771;undergraduateStudent77;xxx-xxx-xxxx;undergraduateStudent77@department0.university0.edu;22;;0
781;undergraduateStudent78;xxx-xxx-xxxx;undergraduateStudent78@department0.university0.edu;20;62;0
791;undergraduateStudent79;xxx-xxx-xxxx;undergraduateStudent79@department0.university0.edu;24;;0
801;undergraduateStudent80;xxx-xxx-xxxx;undergraduateStudent80@department0.university0.edu;17;;0
811;undergraduateStudent81;xxx-xxx-xxxx;undergraduateStudent81@department0.university0.edu;21;;0
821;undergraduateStudent82;xxx-xxx-xxxx;undergraduateStudent82@department0.university0.edu;23;;0
831;undergraduateStudent83;xxx-xxx-xxxx;undergraduateStudent83@department0.university0.edu;18;;0
841;undergraduateStudent84;xxx-xxx-xxxx;undergraduateStudent84@department0.university0.edu;18;31;0
851;undergraduateStudent85;xxx-xxx-xxxx;undergraduateStudent85@department0.university0.edu;17;82;0
861;undergraduateStudent86;xxx-xxx-xxxx;undergraduateStudent86@department0.university0.edu;22;;0
871;undergraduateStudent87;xxx-xxx-xxxx;undergraduateStudent87@department0.university0.edu;20;73;0
881;undergraduateStudent88;xxx-xxx-xxxx;undergraduateStudent88@department0.university0.edu;23;51;0
891;undergraduateStudent89;xxx-xxx-xxxx;undergraduateStudent89@department0.university0.edu;21;;0
901;undergraduateStudent90;xxx-xxx-xxxx;undergraduateStudent90@department0.university0.edu;23;;0
911;undergraduateStudent91;xxx-xxx-xxxx;undergraduateStudent91@department0.university0.edu;24;;0
921;undergraduateStudent92;xxx-xxx-xxxx;undergraduateStudent92@department0.university0.edu;24;;0
931;undergraduateStudent93;xxx-xxx-xxxx;undergraduateStudent93@department0.university0.edu;17;;0
941;undergraduateStudent94;xxx-xxx-xxxx;undergraduateStudent94@department0.university0.edu;22;;0
951;undergraduateStudent95;xxx-xxx-xxxx;undergraduateStudent95@department0.university0.edu;20;31;0
961;undergraduateStudent96;xxx-xxx-xxxx;undergraduateStudent96@department0.university0.edu;20;;0
971;undergraduateStudent97;xxx-xxx-xxxx;undergraduateStudent97@department0.university0.edu;18;;0
981;undergraduateStudent98;xxx-xxx-xxxx;undergraduateStudent98@department0.university0.edu;22;;0
991;undergraduateStudent99;xxx-xxx-xxxx;undergraduateStudent99@department0.university0.edu;21;;0
1001;undergraduateStudent100;xxx-xxx-xxxx;undergraduateStudent100@department0.university0.edu;19;;0
1011;undergraduateStudent101;xxx-xxx-xxxx;undergraduateStudent101@department0.university0.edu;16;;0
1021;undergraduateStudent102;xxx-xxx-xxxx;undergraduateStudent102@department0.university0.edu;21;2;0
1031;undergraduateStudent103;xxx-xxx-xxxx;undergraduateStudent103@department0.university0.edu;17;;0
1041;undergraduateStudent104;xxx-xxx-xxxx;undergraduateStudent104@department0.university0.edu;21;;0
1051;undergraduateStudent105;xxx-xxx-xxxx;undergraduateStudent105@department0.university0.edu;23;;0
1061;undergraduateStudent106;xxx-xxx-xxxx;undergraduateStudent106@department0.university0.edu;16;;0
1071;undergraduateStudent107;xxx-xxx-xxxx;undergraduateStudent107@department0.university0.edu;18;;0
1081;undergraduateStudent108;xxx-xxx-xxxx;undergraduateStudent108@department0.university0.edu;16;;0
1091;undergraduateStudent109;xxx-xxx-xxxx;undergraduateStudent109@department0.university0.edu;22;;0
1101;undergraduateStudent110;xxx-xxx-xxxx;undergraduateStudent110@department0.university0.edu;16;;0
1111;undergraduateStudent111;xxx-xxx-xxxx;undergraduateStudent111@department0.university0.edu;21;;0
1121;undergraduateStudent112;xxx-xxx-xxxx;undergraduateStudent112@department0.university0.edu;19;;0
1131;undergraduateStudent113;xxx-xxx-xxxx;undergraduateStudent113@department0.university0.edu;17;2;0
1141;undergraduateStudent114;xxx-xxx-xxxx;undergraduateStudent114@department0.university0.edu;20;;0
1151;undergraduateStudent115;xxx-xxx-xxxx;undergraduateStudent115@department0.university0.edu;21;;0
1161;undergraduateStudent116;xxx-xxx-xxxx;undergraduateStudent116@department0.university0.edu;20;;0
1171;undergraduateStudent117;xxx-xxx-xxxx;undergraduateStudent117@department0.university0.edu;21;;0
1181;undergraduateStudent118;xxx-xxx-xxxx;undergraduateStudent118@department0.university0.edu;23;11;0
1191;undergraduateStudent119;xxx-xxx-xxxx;undergraduateStudent119@department0.university0.edu;23;;0
1201;undergraduateStudent120;xxx-xxx-xxxx;undergraduateStudent120@department0.university0.edu;21;;0
1211;undergraduateStudent121;xxx-xxx-xxxx;undergraduateStudent121@department0.university0.edu;16;;0
1221;undergraduateStudent122;xxx-xxx-xxxx;undergraduateStudent122@department0.university0.edu;23;;0
1231;undergraduateStudent123;xxx-xxx-xxxx;undergraduateStudent123@department0.university0.edu;22;;0
1241;undergraduateStudent124;xxx-xxx-xxxx;undergraduateStudent124@department0.university0.edu;23;;0
1251;undergraduateStudent125;xxx-xxx-xxxx;undergraduateStudent125@department0.university0.edu;21;;0
1261;undergraduateStudent126;xxx-xxx-xxxx;undergraduateStudent126@department0.university0.edu;21;;0
1271;undergraduateStudent127;xxx-xxx-xxxx;undergraduateStudent127@department0.university0.edu;20;;0
1281;undergraduateStudent128;xxx-xxx-xxxx;undergraduateStudent128@department0.university0.edu;22;;0
1291;undergraduateStudent129;xxx-xxx-xxxx;undergraduateStudent129@department0.university0.edu;19;;0
1301;undergraduateStudent130;xxx-xxx-xxxx;undergraduateStudent130@department0.university0.edu;22;;0
1311;undergraduateStudent131;xxx-xxx-xxxx;undergraduateStudent131@department0.university0.edu;18;;0
1321;undergraduateStudent132;xxx-xxx-xxxx;undergraduateStudent132@department0.university0.edu;22;;0
1331;undergraduateStudent133;xxx-xxx-xxxx;undergraduateStudent133@department0.university0.edu;19;;0
1341;undergraduateStudent134;xxx-xxx-xxxx;undergraduateStudent134@department0.university0.edu;21;;0
1351;undergraduateStudent135;xxx-xxx-xxxx;undergraduateStudent135@department0.university0.edu;19;;0
1361;undergraduateStudent136;xxx-xxx-xxxx;undergraduateStudent136@department0.university0.edu;20;;0
1371;undergraduateStudent137;xxx-xxx-xxxx;undergraduateStudent137@department0.university0.edu;18;13;0
1381;undergraduateStudent138;xxx-xxx-xxxx;undergraduateStudent138@department0.university0.edu;21;;0
1391;undergraduateStudent139;xxx-xxx-xxxx;undergraduateStudent139@department0.university0.edu;21;;0
1401;undergraduateStudent140;xxx-xxx-xxxx;undergraduateStudent140@department0.university0.edu;22;;0
1411;undergraduateStudent141;xxx-xxx-xxxx;undergraduateStudent141@department0.university0.edu;19;;0
1421;undergraduateStudent142;xxx-xxx-xxxx;undergraduateStudent142@department0.university0.edu;17;;0
1431;undergraduateStudent143;xxx-xxx-xxxx;undergraduateStudent143@department0.university0.edu;18;;0
1441;undergraduateStudent144;xxx-xxx-xxxx;undergraduateStudent144@department0.university0.edu;21;;0
1451;undergraduateStudent145;xxx-xxx-xxxx;undergraduateStudent145@department0.university0.edu;18;;0
1461;undergraduateStudent146;xxx-xxx-xxxx;undergraduateStudent146@department0.university0.edu;17;;0
1471;undergraduateStudent147;xxx-xxx-xxxx;undergraduateStudent147@department0.university0.edu;19;33;0
