"nr";"name";"telephone";"emailAddress";"undergraduateDegreeFrom";"masterDegreeFrom";"doctoralDegreeFrom";"worksFor"
1;"fullProfessor0";"xxx-xxx-xxxx";"fullProfessor0@department0.university0.edu";84;875;241;0
2;"associateProfessor0";"xxx-xxx-xxxx";"associateProfessor0@department0.university0.edu";151;271;534;0
3;"assistantProfessor0";"xxx-xxx-xxxx";"assistantProfessor0@department0.university0.edu";924;389;643;0
4;"lecturer0";"xxx-xxx-xxxx";"lecturer0@department0.university0.edu";612;259;170;0
11;"fullProfessor1";"xxx-xxx-xxxx";"fullProfessor1@department0.university0.edu";260;503;882;0
12;"associateProfessor1";"xxx-xxx-xxxx";"associateProfessor1@department0.university0.edu";428;753;49;0
13;"assistantProfessor1";"xxx-xxx-xxxx";"assistantProfessor1@department0.university0.edu";644;895;246;0
14;"lecturer1";"xxx-xxx-xxxx";"lecturer1@department0.university0.edu";497;32;476;0
21;"fullProfessor2";"xxx-xxx-xxxx";"fullProfessor2@department0.university0.edu";862;125;653;0
22;"associateProfessor2";"xxx-xxx-xxxx";"associateProfessor2@department0.university0.edu";911;671;223;0
23;"assistantProfessor2";"xxx-xxx-xxxx";"assistantProfessor2@department0.university0.edu";782;0;158;0
24;"lecturer2";"xxx-xxx-xxxx";"lecturer2@department0.university0.edu";16;820;123;0
31;"fullProfessor3";"xxx-xxx-xxxx";"fullProfessor3@department0.university0.edu";74;336;112;0
32;"associateProfessor3";"xxx-xxx-xxxx";"associateProfessor3@department0.university0.edu";986;593;913;0
33;"assistantProfessor3";"xxx-xxx-xxxx";"assistantProfessor3@department0.university0.edu";819;751;226;0
34;"lecturer3";"xxx-xxx-xxxx";"lecturer3@department0.university0.edu";98;911;615;0
41;"fullProfessor4";"xxx-xxx-xxxx";"fullProfessor4@department0.university0.edu";608;737;143;0
42;"associateProfessor4";"xxx-xxx-xxxx";"associateProfessor4@department0.university0.edu";155;645;508;0
43;"assistantProfessor4";"xxx-xxx-xxxx";"assistantProfessor4@department0.university0.edu";562;615;462;0
44;"lecturer4";"xxx-xxx-xxxx";"lecturer4@department0.university0.edu";340;900;653;0
