"nr";"name";"telephone";"emailAddress";"age";"undergraduateDegreeFrom";"advisor";"memberOf"
2;"graduateStudent0";"xxx-xxx-xxxx";"graduateStudent0@department0.university0.edu";24;358;33;0
12;"graduateStudent1";"xxx-xxx-xxxx";"graduateStudent1@department0.university0.edu";23;145;3;0
22;"graduateStudent2";"xxx-xxx-xxxx";"graduateStudent2@department0.university0.edu";22;426;91;0
32;"graduateStudent3";"xxx-xxx-xxxx";"graduateStudent3@department0.university0.edu";23;370;122;0
42;"graduateStudent4";"xxx-xxx-xxxx";"graduateStudent4@department0.university0.edu";21;963;62;0
52;"graduateStudent5";"xxx-xxx-xxxx";"graduateStudent5@department0.university0.edu";24;579;41;0
62;"graduateStudent6";"xxx-xxx-xxxx";"graduateStudent6@department0.university0.edu";21;298;31;0
72;"graduateStudent7";"xxx-xxx-xxxx";"graduateStudent7@department0.university0.edu";21;166;71;0
82;"graduateStudent8";"xxx-xxx-xxxx";"graduateStudent8@department0.university0.edu";23;116;81;0
92;"graduateStudent9";"xxx-xxx-xxxx";"graduateStudent9@department0.university0.edu";26;994;132;0
102;"graduateStudent10";"xxx-xxx-xxxx";"graduateStudent10@department0.university0.edu";27;211;23;0
112;"graduateStudent11";"xxx-xxx-xxxx";"graduateStudent11@department0.university0.edu";22;178;51;0
122;"graduateStudent12";"xxx-xxx-xxxx";"graduateStudent12@department0.university0.edu";24;593;63;0
132;"graduateStudent13";"xxx-xxx-xxxx";"graduateStudent13@department0.university0.edu";24;941;112;0
142;"graduateStudent14";"xxx-xxx-xxxx";"graduateStudent14@department0.university0.edu";27;72;13;0
152;"graduateStudent15";"xxx-xxx-xxxx";"graduateStudent15@department0.university0.edu";20;667;23;0
162;"graduateStudent16";"xxx-xxx-xxxx";"graduateStudent16@department0.university0.edu";25;517;3;0
172;"graduateStudent17";"xxx-xxx-xxxx";"graduateStudent17@department0.university0.edu";24;996;81;0
182;"graduateStudent18";"xxx-xxx-xxxx";"graduateStudent18@department0.university0.edu";23;239;112;0
192;"graduateStudent19";"xxx-xxx-xxxx";"graduateStudent19@department0.university0.edu";22;716;122;0
202;"graduateStudent20";"xxx-xxx-xxxx";"graduateStudent20@department0.university0.edu";23;74;23;0
212;"graduateStudent21";"xxx-xxx-xxxx";"graduateStudent21@department0.university0.edu";23;27;71;0
222;"graduateStudent22";"xxx-xxx-xxxx";"graduateStudent22@department0.university0.edu";25;852;93;0
232;"graduateStudent23";"xxx-xxx-xxxx";"graduateStudent23@department0.university0.edu";26;628;71;0
242;"graduateStudent24";"xxx-xxx-xxxx";"graduateStudent24@department0.university0.edu";20;429;13;0
252;"graduateStudent25";"xxx-xxx-xxxx";"graduateStudent25@department0.university0.edu";24;618;51;0
262;"graduateStudent26";"xxx-xxx-xxxx";"graduateStudent26@department0.university0.edu";21;291;53;0
272;"graduateStudent27";"xxx-xxx-xxxx";"graduateStudent27@department0.university0.edu";24;536;71;0
282;"graduateStudent28";"xxx-xxx-xxxx";"graduateStudent28@department0.university0.edu";25;893;72;0
292;"graduateStudent29";"xxx-xxx-xxxx";"graduateStudent29@department0.university0.edu";23;700;12;0
302;"graduateStudent30";"xxx-xxx-xxxx";"graduateStudent30@department0.university0.edu";27;63;82;0
312;"graduateStudent31";"xxx-xxx-xxxx";"graduateStudent31@department0.university0.edu";27;667;81;0
322;"graduateStudent32";"xxx-xxx-xxxx";"graduateStudent32@department0.university0.edu";23;422;21;0
332;"graduateStudent33";"xxx-xxx-xxxx";"graduateStudent33@department0.university0.edu";25;765;132;0
342;"graduateStudent34";"xxx-xxx-xxxx";"graduateStudent34@department0.university0.edu";22;950;33;0
352;"graduateStudent35";"xxx-xxx-xxxx";"graduateStudent35@department0.university0.edu";21;644;112;0
362;"graduateStudent36";"xxx-xxx-xxxx";"graduateStudent36@department0.university0.edu";20;630;22;0
372;"graduateStudent37";"xxx-xxx-xxxx";"graduateStudent37@department0.university0.edu";27;661;21;0
382;"graduateStudent38";"xxx-xxx-xxxx";"graduateStudent38@department0.university0.edu";20;990;112;0
392;"graduateStudent39";"xxx-xxx-xxxx";"graduateStudent39@department0.university0.edu";22;239;102;0
402;"graduateStudent40";"xxx-xxx-xxxx";"graduateStudent40@department0.university0.edu";24;475;72;0
412;"graduateStudent41";"xxx-xxx-xxxx";"graduateStudent41@department0.university0.edu";26;986;83;0
422;"graduateStudent42";"xxx-xxx-xxxx";"graduateStudent42@department0.university0.edu";27;139;53;0
432;"graduateStudent43";"xxx-xxx-xxxx";"graduateStudent43@department0.university0.edu";23;527;52;0
442;"graduateStudent44";"xxx-xxx-xxxx";"graduateStudent44@department0.university0.edu";20;144;82;0
452;"graduateStudent45";"xxx-xxx-xxxx";"graduateStudent45@department0.university0.edu";21;440;32;0
462;"graduateStudent46";"xxx-xxx-xxxx";"graduateStudent46@department0.university0.edu";22;971;132;0
472;"graduateStudent47";"xxx-xxx-xxxx";"graduateStudent47@department0.university0.edu";26;252;33;0
482;"graduateStudent48";"xxx-xxx-xxxx";"graduateStudent48@department0.university0.edu";24;869;1;0
492;"graduateStudent49";"xxx-xxx-xxxx";"graduateStudent49@department0.university0.edu";21;391;83;0
502;"graduateStudent50";"xxx-xxx-xxxx";"graduateStudent50@department0.university0.edu";22;718;52;0
512;"graduateStudent51";"xxx-xxx-xxxx";"graduateStudent51@department0.university0.edu";22;943;51;0
522;"graduateStudent52";"xxx-xxx-xxxx";"graduateStudent52@department0.university0.edu";20;5;21;0
532;"graduateStudent53";"xxx-xxx-xxxx";"graduateStudent53@department0.university0.edu";27;228;91;0
542;"graduateStudent54";"xxx-xxx-xxxx";"graduateStudent54@department0.university0.edu";26;570;43;0
552;"graduateStudent55";"xxx-xxx-xxxx";"graduateStudent55@department0.university0.edu";23;67;33;0
562;"graduateStudent56";"xxx-xxx-xxxx";"graduateStudent56@department0.university0.edu";20;140;71;0
572;"graduateStudent57";"xxx-xxx-xxxx";"graduateStudent57@department0.university0.edu";26;959;92;0
582;"graduateStudent58";"xxx-xxx-xxxx";"graduateStudent58@department0.university0.edu";24;349;83;0
592;"graduateStudent59";"xxx-xxx-xxxx";"graduateStudent59@department0.university0.edu";21;7;102;0
602;"graduateStudent60";"xxx-xxx-xxxx";"graduateStudent60@department0.university0.edu";23;292;83;0
612;"graduateStudent61";"xxx-xxx-xxxx";"graduateStudent61@department0.university0.edu";25;785;71;0
622;"graduateStudent62";"xxx-xxx-xxxx";"graduateStudent62@department0.university0.edu";25;60;61;0
632;"graduateStudent63";"xxx-xxx-xxxx";"graduateStudent63@department0.university0.edu";27;573;73;0
642;"graduateStudent64";"xxx-xxx-xxxx";"graduateStudent64@department0.university0.edu";24;528;52;0
652;"graduateStudent65";"xxx-xxx-xxxx";"graduateStudent65@department0.university0.edu";22;130;23;0
662;"graduateStudent66";"xxx-xxx-xxxx";"graduateStudent66@department0.university0.edu";21;186;31;0
672;"graduateStudent67";"xxx-xxx-xxxx";"graduateStudent67@department0.university0.edu";25;490;3;0
682;"graduateStudent68";"xxx-xxx-xxxx";"graduateStudent68@department0.university0.edu";23;991;81;0
692;"graduateStudent69";"xxx-xxx-xxxx";"graduateStudent69@department0.university0.edu";22;958;51;0
702;"graduateStudent70";"xxx-xxx-xxxx";"graduateStudent70@department0.university0.edu";27;610;132;0
712;"graduateStudent71";"xxx-xxx-xxxx";"graduateStudent71@department0.university0.edu";22;788;71;0
722;"graduateStudent72";"xxx-xxx-xxxx";"graduateStudent72@department0.university0.edu";22;810;83;0
732;"graduateStudent73";"xxx-xxx-xxxx";"graduateStudent73@department0.university0.edu";24;303;2;0
742;"graduateStudent74";"xxx-xxx-xxxx";"graduateStudent74@department0.university0.edu";21;53;12;0
752;"graduateStudent75";"xxx-xxx-xxxx";"graduateStudent75@department0.university0.edu";25;280;21;0
762;"graduateStudent76";"xxx-xxx-xxxx";"graduateStudent76@department0.university0.edu";23;674;53;0
772;"graduateStudent77";"xxx-xxx-xxxx";"graduateStudent77@department0.university0.edu";24;924;62;0
782;"graduateStudent78";"xxx-xxx-xxxx";"graduateStudent78@department0.university0.edu";24;173;32;0
792;"graduateStudent79";"xxx-xxx-xxxx";"graduateStudent79@department0.university0.edu";21;752;52;0
802;"graduateStudent80";"xxx-xxx-xxxx";"graduateStudent80@department0.university0.edu";20;606;112;0
812;"graduateStudent81";"xxx-xxx-xxxx";"graduateStudent81@department0.university0.edu";22;464;33;0
822;"graduateStudent82";"xxx-xxx-xxxx";"graduateStudent82@department0.university0.edu";27;920;2;0
832;"graduateStudent83";"xxx-xxx-xxxx";"graduateStudent83@department0.university0.edu";21;62;12;0
842;"graduateStudent84";"xxx-xxx-xxxx";"graduateStudent84@department0.university0.edu";23;934;51;0
852;"graduateStudent85";"xxx-xxx-xxxx";"graduateStudent85@department0.university0.edu";25;205;51;0
862;"graduateStudent86";"xxx-xxx-xxxx";"graduateStudent86@department0.university0.edu";24;277;13;0
872;"graduateStudent87";"xxx-xxx-xxxx";"graduateStudent87@department0.university0.edu";25;318;32;0
882;"graduateStudent88";"xxx-xxx-xxxx";"graduateStudent88@department0.university0.edu";25;14;42;0
892;"graduateStudent89";"xxx-xxx-xxxx";"graduateStudent89@department0.university0.edu";22;323;83;0
902;"graduateStudent90";"xxx-xxx-xxxx";"graduateStudent90@department0.university0.edu";24;339;22;0
912;"graduateStudent91";"xxx-xxx-xxxx";"graduateStudent91@department0.university0.edu";25;708;61;0
922;"graduateStudent92";"xxx-xxx-xxxx";"graduateStudent92@department0.university0.edu";27;228;132;0
932;"graduateStudent93";"xxx-xxx-xxxx";"graduateStudent93@department0.university0.edu";20;574;22;0
942;"graduateStudent94";"xxx-xxx-xxxx";"graduateStudent94@department0.university0.edu";22;816;43;0
952;"graduateStudent95";"xxx-xxx-xxxx";"graduateStudent95@department0.university0.edu";20;892;92;0
962;"graduateStudent96";"xxx-xxx-xxxx";"graduateStudent96@department0.university0.edu";20;892;93;0
