"nr";"name";"telephone";"emailAddress";"age";"advisor";"memberOf"
1;"undergraduateStudent0";"xxx-xxx-xxxx";"undergraduateStudent0@department0.university0.edu";19;0;0
11;"undergraduateStudent1";"xxx-xxx-xxxx";"undergraduateStudent1@department0.university0.edu";20;0;0
21;"undergraduateStudent2";"xxx-xxx-xxxx";"undergraduateStudent2@department0.university0.edu";22;0;0
31;"undergraduateStudent3";"xxx-xxx-xxxx";"undergraduateStudent3@department0.university0.edu";22;0;0
41;"undergraduateStudent4";"xxx-xxx-xxxx";"undergraduateStudent4@department0.university0.edu";16;43;0
51;"undergraduateStudent5";"xxx-xxx-xxxx";"undergraduateStudent5@department0.university0.edu";20;0;0
61;"undergraduateStudent6";"xxx-xxx-xxxx";"undergraduateStudent6@department0.university0.edu";20;0;0
71;"undergraduateStudent7";"xxx-xxx-xxxx";"undergraduateStudent7@department0.university0.edu";18;0;0
81;"undergraduateStudent8";"xxx-xxx-xxxx";"undergraduateStudent8@department0.university0.edu";17;0;0
91;"undergraduateStudent9";"xxx-xxx-xxxx";"undergraduateStudent9@department0.university0.edu";23;0;0
101;"undergraduateStudent10";"xxx-xxx-xxxx";"undergraduateStudent10@department0.university0.edu";17;63;0
111;"undergraduateStudent11";"xxx-xxx-xxxx";"undergraduateStudent11@department0.university0.edu";23;0;0
121;"undergraduateStudent12";"xxx-xxx-xxxx";"undergraduateStudent12@department0.university0.edu";22;0;0
131;"undergraduateStudent13";"xxx-xxx-xxxx";"undergraduateStudent13@department0.university0.edu";17;0;0
141;"undergraduateStudent14";"xxx-xxx-xxxx";"undergraduateStudent14@department0.university0.edu";19;0;0
151;"undergraduateStudent15";"xxx-xxx-xxxx";"undergraduateStudent15@department0.university0.edu";22;0;0
161;"undergraduateStudent16";"xxx-xxx-xxxx";"undergraduateStudent16@department0.university0.edu";22;0;0
171;"undergraduateStudent17";"xxx-xxx-xxxx";"undergraduateStudent17@department0.university0.edu";18;0;0
181;"undergraduateStudent18";"xxx-xxx-xxxx";"undergraduateStudent18@department0.university0.edu";21;71;0
191;"undergraduateStudent19";"xxx-xxx-xxxx";"undergraduateStudent19@department0.university0.edu";17;0;0
201;"undergraduateStudent20";"xxx-xxx-xxxx";"undergraduateStudent20@department0.university0.edu";20;0;0
211;"undergraduateStudent21";"xxx-xxx-xxxx";"undergraduateStudent21@department0.university0.edu";21;73;0
221;"undergraduateStudent22";"xxx-xxx-xxxx";"undergraduateStudent22@department0.university0.edu";20;0;0
231;"undergraduateStudent23";"xxx-xxx-xxxx";"undergraduateStudent23@department0.university0.edu";21;0;0
241;"undergraduateStudent24";"xxx-xxx-xxxx";"undergraduateStudent24@department0.university0.edu";20;122;0
251;"undergraduateStudent25";"xxx-xxx-xxxx";"undergraduateStudent25@department0.university0.edu";19;0;0
261;"undergraduateStudent26";"xxx-xxx-xxxx";"undergraduateStudent26@department0.university0.edu";16;102;0
271;"undergraduateStudent27";"xxx-xxx-xxxx";"undergraduateStudent27@department0.university0.edu";21;0;0
281;"undergraduateStudent28";"xxx-xxx-xxxx";"undergraduateStudent28@department0.university0.edu";16;0;0
291;"undergraduateStudent29";"xxx-xxx-xxxx";"undergraduateStudent29@department0.university0.edu";21;61;0
301;"undergraduateStudent30";"xxx-xxx-xxxx";"undergraduateStudent30@department0.university0.edu";17;0;0
311;"undergraduateStudent31";"xxx-xxx-xxxx";"undergraduateStudent31@department0.university0.edu";20;31;0
321;"undergraduateStudent32";"xxx-xxx-xxxx";"undergraduateStudent32@department0.university0.edu";24;43;0
331;"undergraduateStudent33";"xxx-xxx-xxxx";"undergraduateStudent33@department0.university0.edu";21;0;0
341;"undergraduateStudent34";"xxx-xxx-xxxx";"undergraduateStudent34@department0.university0.edu";20;32;0
351;"undergraduateStudent35";"xxx-xxx-xxxx";"undergraduateStudent35@department0.university0.edu";16;0;0
361;"undergraduateStudent36";"xxx-xxx-xxxx";"undergraduateStudent36@department0.university0.edu";23;0;0
371;"undergraduateStudent37";"xxx-xxx-xxxx";"undergraduateStudent37@department0.university0.edu";18;0;0
381;"undergraduateStudent38";"xxx-xxx-xxxx";"undergraduateStudent38@department0.university0.edu";21;0;0
391;"undergraduateStudent39";"xxx-xxx-xxxx";"undergraduateStudent39@department0.university0.edu";18;0;0
401;"undergraduateStudent40";"xxx-xxx-xxxx";"undergraduateStudent40@department0.university0.edu";17;0;0
411;"undergraduateStudent41";"xxx-xxx-xxxx";"undergraduateStudent41@department0.university0.edu";23;0;0
421;"undergraduateStudent42";"xxx-xxx-xxxx";"undergraduateStudent42@department0.university0.edu";16;22;0
431;"undergraduateStudent43";"xxx-xxx-xxxx";"undergraduateStudent43@department0.university0.edu";21;0;0
441;"undergraduateStudent44";"xxx-xxx-xxxx";"undergraduateStudent44@department0.university0.edu";24;0;0
451;"undergraduateStudent45";"xxx-xxx-xxxx";"undergraduateStudent45@department0.university0.edu";18;0;0
461;"undergraduateStudent46";"xxx-xxx-xxxx";"undergraduateStudent46@department0.university0.edu";23;0;0
471;"undergraduateStudent47";"xxx-xxx-xxxx";"undergraduateStudent47@department0.university0.edu";17;0;0
481;"undergraduateStudent48";"xxx-xxx-xxxx";"undergraduateStudent48@department0.university0.edu";24;0;0
491;"undergraduateStudent49";"xxx-xxx-xxxx";"undergraduateStudent49@department0.university0.edu";21;0;0
501;"undergraduateStudent50";"xxx-xxx-xxxx";"undergraduateStudent50@department0.university0.edu";21;0;0
511;"undergraduateStudent51";"xxx-xxx-xxxx";"undergraduateStudent51@department0.university0.edu";22;0;0
